,overall,human-human,gpt3-gpt3,human-gpt3,fnames,chatgpt-chatgpt,human-chatgpt
0,5.6384223926687517e-05,0.00034109458713610374,0.0005548680406123539,0.00033632001076247287,char_distr__ ,0.0004428419787253434,0.0005706402869993012
1,0.001122489899787557,0.0029516136255026315,0.022460717911605272,0.015872570863649828,"char_distr__ """,0.013639368720017182,0.003126814363331383
2,0.00018816086429388398,0.006875435369258403,0.008301709129262749,0.007609227623596697,"char_distr__ "" ",0.008094858316965945,0.008094829896917016
3,0.00021877761714021778,0.002169120446949133,0.004955478244597022,0.0023180368749779684,"char_distr__ "".",0.004955478244597022,0.0005951372877754996
4,0.0002634788194607223,0.0007365180183623692,0.0073875176330981465,0.0019279748284777621,"char_distr__ ""a",0.0034985404329719357,0.0023828953195697117
5,0.00016839940649523102,0.0033739490772645344,0.0030580784199911145,0.001718461188766598,"char_distr__ ""b",0.0022946670921397795,6.998786904454295e-05
6,0.0001941925930712342,0.00037448448605256735,0.005863508193591446,0.001728414485357668,"char_distr__ ""c",0.004506808856631847,0.003093987095543074
7,0.00018234505227759584,0.002740013643400542,0.016468234069100286,0.0028651991893461726,"char_distr__ ""d",0.014158437728564857,0.0055791185894770124
8,0.000137326735331786,0.0007458790800660623,0.004262479939488696,0.001551719737734229,"char_distr__ ""e",0.0013696446254301841,0.0019689781644748714
9,3.505734237955526e-05,0.01129142972011243,0.01577976102949594,0.0001968888170473579,"char_distr__ ""f",0.008786885468510247,0.0059778923378038555
10,0.00022586567769417867,0.0024347805320947004,0.010313520200602671,0.002319322890761935,"char_distr__ ""g",0.007689254843966137,0.0007939776340132034
11,0.00035196039811933086,0.00040740370143027793,0.009633502063019503,0.0038627146725486615,"char_distr__ ""h",0.0040073948270662055,0.002310424505658336
12,7.646892201854422e-05,0.00010165955961464372,0.0011778424963029572,0.0002488270264358126,"char_distr__ ""i",0.0005121408110798025,0.00044989753380742024
13,0.0003492583661164316,0.00041075388011606296,0.0064501978938278,0.002290907973781996,"char_distr__ ""j",0.002514813196360857,0.0007660420081942515
14,7.164294756091147e-06,0.0028658733277849976,0.004750185609984536,0.003192768658410025,"char_distr__ ""k",0.003975081331258209,0.0038242384158562338
15,5.034899454986669e-05,0.0002958944453627217,0.0011578505475103376,0.00018942176896584077,"char_distr__ ""l",0.0005732396960065014,0.0004825904736063575
16,0.00031697263095771544,0.00036992212008879873,0.004190466406727875,0.0016364550161868383,"char_distr__ ""m",0.0025356446904883224,0.0005784758049847703
17,6.91771835701526e-05,0.00018689069001527988,0.0010181190519862923,0.0003193582251511056,"char_distr__ ""n",0.0009508519818975675,0.00022626858726083993
18,0.0003382067075672504,0.005518256048521201,0.014101754579568524,0.0076828527318190554,"char_distr__ ""o",0.0070190580349445,0.0040181214558857635
19,0.0001879643091906477,0.0016398443111105237,0.012010015903126732,0.0018490574215421773,"char_distr__ ""p",0.006332204725676531,0.0001323683985805576
20,6.317511009599964e-05,0.0011584657159154736,0.002410131273471802,0.0005521216852538102,"char_distr__ ""r",0.0009526310059855438,0.0009938605334807666
21,8.503415735456599e-08,0.004392901784469506,0.01690235508575513,0.009132521440182872,"char_distr__ ""s",0.01192840904298769,0.001921883560559729
22,0.00024946080701859893,0.002010822318920789,0.007179396493213143,0.0008910844930267773,"char_distr__ ""t",0.004382273989481521,0.002722955226346284
23,1.8861503459979098e-07,3.4194319425657658e-06,3.1615823994475253e-05,3.2803677291433515e-06,"char_distr__ ""u",2.4392884293676963e-05,1.890859761234972e-05
24,0.00039293777471782727,0.00012554072727637708,0.0044391628806750094,0.0016266584112847142,"char_distr__ ""v",0.006516155259151874,0.004528270274576651
25,0.00033595656576798253,0.0005949120911644739,0.0069742856173059305,0.0019303735966852086,"char_distr__ ""w",0.00039731816591911576,0.0026114971713554007
26,0.00045102239752136184,0.0005216470172887671,0.012403148053688735,0.0019896558549463345,"char_distr__ ""y",0.007973694817554128,0.007557569064304689
27,0.0002977842004111887,0.008886209145047124,0.01288244745812394,0.010492147327120846,char_distr__ (,0.012624312377688102,0.009829160802360737
28,0.000545792450743082,0.004463540595543267,0.007249791575470089,0.005901665401807715,char_distr__ (a,0.007329206584082052,0.004563345543425529
29,0.00021063969467651798,0.00447905005974667,0.005768215513307457,0.005588619775102651,char_distr__ (i,0.005768215513307449,0.005768215513307449
30,2.185853501475542e-05,0.0011779140021295177,0.001858832662357341,0.001423252882960222,char_distr__ (s,0.0018588326623573412,0.0014768009990592343
31,0.00016876688140729715,0.0023677299465709734,0.0033152341715015957,0.0027153285812571842,char_distr__ (t,0.0033152341715015996,0.003143926849879363
32,9.00836567420924e-05,0.0009961850177548771,0.001153150382114664,0.001153150382114664,char_distr__ (w,0.0011531503821146634,0.0011531503821146634
33,0.0003222398388032269,0.002921834021568877,0.0044404341518912835,0.002663914047658999,char_distr__ *,0.0043130047651154775,0.0009984264499412233
34,0.001629229495817676,0.010243109072369538,0.00240297055305262,0.0007022095871254605,char_distr__ -,0.010444983449520058,0.0046522238567537596
